date,prices,market_caps,total_volumes
2019-04-19,69.62905988937239,1178501533.4660506,227968682.39913338
2019-04-20,69.0965357495653,1169687075.6817036,262741280.33243823
2019-04-21,69.46010717390477,1191775338.9774768,98448418.28764547
2019-04-22,68.59525627287985,1161194867.3052616,99632286.27352017
2019-04-23,69.17373294615565,1158375865.582229,351197969.9272828
2019-04-24,69.92648852554224,1180487206.964786,414226749.33852005
2019-04-25,67.5726946789949,1141731295.270389,125035968.33393621
2019-04-26,61.69602447664809,1049708603.9800076,440650255.05849415
2019-04-27,63.253030539080875,1065054618.6001567,222332529.59773126
2019-04-28,62.862331434275724,1062424683.9782895,301574824.33672166
2019-04-29,61.82471171362689,1044137731.703189,321689332.43513316
2019-04-30,60.713367850608634,1029348936.0604106,270566322.9076892
2019-05-01,61.65062765882155,1045176816.7532946,272646212.6075381
2019-05-02,64.49598108268934,1095842787.2299833,176992923.35379812
2019-05-03,64.28285872160724,1090355000.0783255,204467571.04053673
2019-05-04,66.15075044640393,1118643397.336369,290585233.88716364
2019-05-05,67.46580855324058,1144243791.3082905,274627265.9517917
2019-05-06,66.11494480148181,1123182768.2879598,233724761.709774
2019-05-07,66.54524763403525,1129078414.4168293,276851511.49029016
2019-05-08,65.66230545976059,1119346711.405132,202927386.78521323
2019-05-09,66.98463579086282,1135739480.109446,276638336.06586504
2019-05-10,64.62060594589691,1098101006.9315724,304753378.411369
2019-05-11,67.88063977106609,1152434096.3801804,296172015.8024182
2019-05-12,77.73459839420421,1383472056.7661598,181377852.25668833
2019-05-13,75.53175946719524,1280587179.6747217,46602444.36202382
2019-05-14,79.06849295763286,1343146045.4874856,60553327.36575637
2019-05-15,83.14524899943973,1411892761.2758396,70513987.30967894
2019-05-16,94.8489579297447,1607820392.0512633,75657154.21146159
2019-05-17,85.86198441213664,1462405804.9634438,353280440.4873525
2019-05-18,81.58285890279845,1383903888.1569839,277611801.3943365
2019-05-19,79.98846599957876,1359377423.880471,311949349.8524493
2019-05-20,90.11500384026063,1530664586.4313664,69739626.09474109
2019-05-21,86.67410837796838,1471400342.7922816,447074960.86419165
2019-05-22,88.45292498293641,1504268536.9766889,443234866.5898598
