date,bitcoin_market_caps,ethereum_market_caps,tether_market_caps,ripple_market_caps,solana_market_caps,terra-luna_market_caps,cardano_market_caps,avalanche-2_market_caps,stellar_market_caps,monero_market_caps
2019-04-19,93215173176.98566,18314771488.822433,2063243045.7907283,14115043056.818666,7591579830.598075,203049964.46892524,2537199477.7739186,21135819074.46434,2268389559.273902,1178501533.4660506
2019-04-20,93210585886.91354,18342659764.36273,2064755201.6432736,13905538093.288944,7595729558.871121,209002578.95988065,2472129360.904026,20626079980.35316,2232942560.6190057,1169687075.6817036
2019-04-21,93900276128.91374,18306343766.281067,2063756310.048199,13746239989.046755,8603692851.645973,226642018.1235993,2369595754.887332,21605329949.54757,2241726410.1223917,1191775338.9774768
2019-04-22,93759009855.06888,17972610400.17828,2073682937.7640917,13548590783.188202,8782089188.680168,201086523.6427953,2301615515.575593,20617858212.16098,2178951216.6890097,1161194867.3052616
2019-04-23,94990455842.8902,18087557354.45475,2063826783.6423793,13585188703.461403,9870964496.720772,212942799.2306361,2423028539.104957,21916125064.43344,2206026942.981826,1158375865.582229
2019-04-24,98039931169.25388,18058590378.524723,2066710175.4886181,13468301101.9293,9272656715.856787,218732001.61553922,2310262161.6084943,23428417146.950607,2153385198.966046,1180487206.964786
2019-04-25,96218396013.24342,17513743539.566673,2070342265.889987,12662565537.01285,9090469010.815338,244718939.9327756,2236459283.8235483,22019021975.669594,1991180750.3221536,1141731295.270389
2019-04-26,91817406863.89627,16278218288.123909,2047353620.7889452,12175771462.06511,9368039157.991346,233495046.35863888,2156944993.2995615,22039413879.223244,1885584002.9223764,1049708603.9800076
2019-04-27,93049690718.15042,16557928986.13092,2042786524.873991,12572380124.531511,9803376069.99858,231570910.610866,2151061060.3602896,22849251757.911392,1894612766.3040082,1065054618.6001567
2019-04-28,93148101239.95938,16729345051.253407,2042468591.0454426,12447474265.301832,10217649265.24856,221914872.50649557,2182464333.0042877,22554617352.205124,1904663017.0010152,1062424683.9782895
2019-04-29,92775167509.00262,16559733009.547436,2037015238.6171281,12450873795.59083,10788517295.598755,208745119.28549072,2129329332.5482047,21246442919.975197,1862188836.4747906,1044137731.703189
2019-04-30,91885324029.79892,16314567668.36402,2043145909.419018,12251847495.659832,10716940358.779821,193197227.67826012,1999777250.3609803,21061012482.794395,1824531152.0488734,1029348936.0604106
2019-05-01,93534079555.95955,17017994744.389439,2045683550.1407673,12889724840.292702,10274392698.30968,166853473.62204266,2163523430.966617,20325852120.202187,1903116280.8259969,1045176816.7532946
2019-05-02,94579889910.03488,16881275146.405905,2047453191.442309,12667472179.101122,10540000830.327097,161548933.9800907,2129155366.222498,19561084110.463524,1922948930.4108949,1095842787.2299833
2019-05-03,96389607751.50581,17057211134.916904,2040987464.34003,12638714920.644684,11060502356.763584,142681470.82056767,2117234656.105523,16135812631.459578,1911015257.3435514,1090355000.0783255
